학교이름,과목명,교수,년도,학기,시험/과제/노트,파일1,파일2,파일3,파일4,파일5,파일6,파일7,파일8,파일9,파일10,파일11,파일12,파일13,파일14,파일15
청주대,종교와 문화,,2015,,시험,list/1/1/1.hwp,,,,,,,,,,,,,,
연세대(원주),미시경제학,,2015,,시험,list/1/2/1.hwp,,,,,,,,,,,,,,
청주대,현대인과 국제매너,,,,시험,list/1/3/1.hwp,,,,,,,,,,,,,,
조선대,조선대 새로운도전 국제관광 족보,,,,,list/1/4/1.hwp,,,,,,,,,,,,,,
충북대,일반물리학 및 실험 1,,,,,list/1/6/1.zip,,,,,,,,,,,,,,
조선대, 아랍이슬람의 문화 이해,,,,,list/1/7/1.pdf,,,,,,,,,,,,,,
영남대,/영남대/영화로보는 춤이야기,,2015,,시험,list/1/9/1.hwp,,,,,,,,,,,,,,
원광대,원광대 창업의 이해 ,,,,,list/1/10/1.hwp,,,,,,,,,,,,,,
청주대,미국과 미국인(교양),,,,시험,list/1/11/1.hwp,,,,,,,,,,,,,,
조선대,프랑스문화와 예술,,2015,,,list/1/12/1.hwp,,,,,,,,,,,,,,
청주대,일본문화기행,,,,시험,list/1/15/1.hwp,,,,,,,,,,,,,,
조선대,조선대 회로이론1~2  1999부터 현재까지^^,,,,,list/1/17/1.hwp,,,,,,,,,,,,,,
,프랑스 문화,,,,,list/1/19/1.hwp,,,,,,,,,,,,,,
,인간과동물,,,,,list/1/20/1.hwp,,,,,,,,,,,,,,
연세대,미시경제원론,,2015,,,list/2/1/1.hwp,list/2/1/2.hwp,,,,,,,,,,,,,
청주대,폐기물처리,,,,시험,list/2/4/1.bmp,,,,,,,,,,,,,,
원광대,프랑스어와 일상생활,,,,노트,list/2/5/1.txt,,,,,,,,,,,,,,
,성의과학 인강,,,,,list/2/6/1.hwp,,,,,,,,,,,,,,
울산대,바다와배(중간),,,,,list/2/7/1.zip,,,,,,,,,,,,,,
원광대,성의과학,,,,노트,list/2/8/1.hwp,,,,,,,,,,,,,,
조선대,영상으로 떠나는 베트남 문화기행,,,,,list/2/9/1.hwp,,,,,,,,,,,,,,
울산대,결혼과 가족,,,,,list/2/10/1.zip,,,,,,,,,,,,,,
영남대,결혼과가족,,,,,list/2/12/1.hwp,,,,,,,,,,,,,,
원광대,Basic mba,,,,노트,list/2/13/1.hwp,list/2/13/2.hwp,,,,,,,,,,,,,
아주대,화학1,,,,시험,list/2/15/1.pdf,,,,,,,,,,,,,,
아주대,화학1,,,,시험,list/2/16/1.pdf,,,,,,,,,,,,,,
청주대,심리학의 초대,,,,시험,list/2/17/1.hwp,,,,,,,,,,,,,,
